Account,date,classification,daily_pnl,trade_count,total_size_usd,avg_trade_size,wins,long_count,short_count,win_rate,ls_ratio,segment
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,Fear,716.143949,155,113285.54,730.8744516129032,83,72,83,0.535483870967742,0.8674698795076208,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,Fear,0.0,1,54768.6,54768.6,0,1,0,0.0,999999999.9999999,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,Fear,0.0,1,16.37,16.37,0,1,0,0.0,999999999.9999999,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,Fear,-95.985744,88,68679.46,780.4484090909092,1,0,88,0.011363636363636364,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,Fear,-133.41237,125,91365.76,730.92608,20,60,65,0.16,0.9230769230627218,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,Fear,951.934443,689,528313.42,766.7829027576198,301,312,377,0.43686502177068215,0.8275862068943566,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,Fear,371.503,411,226906.97,552.0850851581508,297,122,289,0.7226277372262774,0.4221453287182625,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,Fear,-1892.58947,603,581052.14,963.6022222222223,249,297,306,0.4129353233830846,0.9705882352909458,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,Fear,3434.689308,97,86106.24,887.6931958762888,97,0,97,1.0,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,Greed,2654.14315,568,1472966.88,2593.2515492957746,336,219,349,0.5915492957746479,0.6275071633219842,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,Greed,1867.252909,680,1142252.43,1679.7829852941175,333,346,334,0.48970588235294116,1.0359281437094734,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,Greed,1969.39321,330,1248337.1199999999,3782.839757575757,40,162,168,0.12121212121212122,0.9642857142799746,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,Greed,-4648.8710550000005,338,96183.93,284.5678402366864,0,0,338,0.0,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,Greed,0.0,67,96167.16,1435.3307462686569,0,67,0,0.0,66999999999.99999,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,Greed,5179.772745,83,101346.88,1221.0467469879518,83,0,83,1.0,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,Neutral,1243.853569,250,203876.44,815.50576,81,169,81,0.324,2.086419753060661,Frequent
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,Neutral,-1.0,5,30351.0,6070.2,0,2,3,0.0,0.6666666664444444,Frequent
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,Extreme Greed,1584.342755,1,1584.35,1584.35,1,0,1,1.0,0.0,Frequent
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,Extreme Greed,208.81746,4,158123.95,39530.9875,3,3,1,0.75,2.9999999969999998,Frequent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,Extreme Fear,16706.884912,797,4886973.24,6131.710464240904,300,275,522,0.37641154328732745,0.5268199233706383,Frequent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,Fear,13264.043303999999,339,7423746.26,21898.95651917404,189,231,108,0.5575221238938053,2.1388888888690842,Frequent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,Fear,5942.547242,313,2716221.67,8678.024504792333,40,40,273,0.12779552715654952,0.14652014651960982,Frequent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,Fear,8277.307357,863,2657908.25,3079.8473348783314,424,418,445,0.49130938586326767,0.9393258426945184,Frequent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,Fear,2638.012587,353,693974.34,1965.9329745042492,61,61,292,0.17280453257790368,0.20890410958832567,Frequent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,Neutral,-19037.340561,594,4817869.23,8110.89095959596,0,233,361,0.0,0.6454293628790986,Frequent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,Greed,-108176.9187,469,9394438.39,20030.785479744136,66,236,233,0.14072494669509594,1.0128755364763395,Frequent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,Greed,8157.112326,70,1092249.57,15603.565285714287,66,67,3,0.9428571428571428,22.333333325888887,Frequent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,Greed,0.0,1,0.17,0.17,0,0,1,0.0,0.0,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,Extreme Greed,159.100072,93,34754.56,373.7049462365591,16,49,44,0.17204301075268819,1.1136363636110538,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,Extreme Greed,161.289904,95,33584.67,353.5228421052631,34,45,50,0.35789473684210527,0.8999999999820001,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,Extreme Greed,147.410285,162,108044.6,666.941975308642,67,71,91,0.41358024691358025,0.7802197802112063,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,Extreme Greed,233.36546,213,190840.29,895.9638028169014,104,115,98,0.48826291079812206,1.173469387743128,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,Extreme Greed,-316.245208,407,874868.16,2149.553218673219,141,188,219,0.3464373464373464,0.8584474885805551,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,Extreme Greed,780.001314,446,325137.18,729.007130044843,156,223,223,0.34977578475336324,0.9999999999955157,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,Extreme Greed,141.21958999999998,433,182730.29,422.0099076212471,135,208,225,0.3117782909930716,0.9244444444403358,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,Extreme Greed,673.6312,156,52019.64,333.45923076923077,63,76,80,0.40384615384615385,0.949999999988125,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,Extreme Greed,108.321127,69,13851.0,200.7391304347826,29,54,15,0.42028985507246375,3.59999999976,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,Extreme Greed,464.281002,225,72982.65,324.3673333333333,95,106,119,0.4222222222222222,0.890756302513523,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,Extreme Greed,-508.290641,217,219729.39,1012.5778341013826,76,127,90,0.35023041474654376,1.411111111095432,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,Extreme Greed,193.66415899999998,169,187730.65,1110.83224852071,74,69,100,0.4378698224852071,0.6899999999931,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,Extreme Greed,165.532644,207,195837.9,946.0768115942029,78,116,91,0.37681159420289856,1.2747252747112667,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,Extreme Greed,9551.73423,206,80123.45,388.948786407767,92,87,119,0.44660194174757284,0.7310924369686462,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,Extreme Greed,5590.528248,154,48590.47,315.52253246753247,71,60,94,0.461038961038961,0.6382978723336351,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,Extreme Greed,4458.25495,193,47695.56,247.12725388601035,97,66,127,0.5025906735751295,0.5196850393659868,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,Extreme Greed,1283.846047,140,19651.71,140.36935714285713,73,70,70,0.5214285714285715,0.9999999999857142,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,Extreme Greed,1190.358719,78,7205.03,92.37217948717948,37,28,50,0.47435897435897434,0.5599999999888,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,Extreme Greed,9066.169646,112,18567.68,165.78285714285715,60,30,82,0.5357142857142857,0.3658536585321237,Frequent
